CV File,Category,Education,Top Skills
./data\DIGITAL-MEDIA\14036515.pdf,DIGITAL-MEDIA,[],"high school diploma, city state answer, receiving city state, diploma city state, city state document, city state operate, city state warehouse, state answer telephones, medical reports company, tech city state"
./data\DIGITAL-MEDIA\14209965.pdf,DIGITAL-MEDIA,"[{'Degree': 'bachelor', 'Major': 's of arts\n \n \n \nseton hall university\n \n  \ncommunications\n \ncity\n \n  \nstate\n \ngpa  \ngpa  3 4\nemphasis in public relations\nmarketing  public relations and journalism coursework\nmember of prssa  member of alpha phi sorority  director of marketing  2008 2009 and vice president of marketing  2009 2010\nskills\nm\n edia planning buying softward  mediaocean  dds  mediavisor  aspen  strata  dart dfa and dfp\nresearch software  ims clear decisions  mri   comscore  adviews  snapshot  srds  emarketer\nother software  salesforce  central desktop vzai  hyperion  lotus notes  mircsoft office suite  google drive and docs  box \nquarkxpress\nmac pc platform proficien', 'University': 't'}]","city state clients, associate media planner, city state assisted, senior associate media, clients present media, media planner digital, digital media planner, created media recommendations, state client samsung, city state provided"
./data\DIGITAL-MEDIA\14556869.pdf,DIGITAL-MEDIA,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \npsychology  corporate strategy\n \nvanderbilt university\n \nï¼  \ncity\n \n  \nstate\ncumulative grade point average  3 4\nmajor grade point average  3 6\nsummary\nhardworking  passionate vanderbilt student intending to obtain fall on campus employment to both grow and excel in all endeavors \nexperience\n06 2013\n \nto \n08 2013\ndigital marketing intern\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nexecuting and overseeing corporate digital marketing campaign through various platforms including company twitter and linkedin pages \nupdating company web media using sitecore web content management system \nworking with corporate marketing consultants to determine appropriate customized programs and strategies for various web based market\nsegments \n12 2012\n \nto \n05 2013\nstudent fundraising ambassador\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nupdated contact information  provided institutional affairs updates  and stewarded university fundraising efforts of alumni and constituents of\nvanderbilt\ninspired new supporters to contribute funds  while maintaining relationships and encouraging increased support with existing contributors \nmade risk analyses and balanced cost time data to focus efforts on most appropriate fundraising activities \n12 2011\n \nto \n05 2013\ntutor\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nprovided student athletes with academic assistance \nsubmitted detailed reports of each individual tutoring session \nupdated counselor and tutor coordinator on progress over time \n04 2011\n \nto \n11 2012\nadvertising   public relations intern\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nexecuted brand endorsement  talent discovery  and talent relations duties \norchestrated promotional and vendor agreements with various entities including music groups  festival hosts  and supplement wholesalers\nand websites \nwrote and distributed advertisement and press material to third party media outlets \ndeveloped various promotional and advertisement campaigns through company social media and web based entities \n06 2012\n \nto \n08 2012\nmarketing intern\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nutilized microsoft customer relationship management system to establish a database of current and potential clients \nperformed routine teleconferences with clients to discover needs and delivered summaries to manager \nworked under direction of management and c e o  to reach out to potential clients and develop interest in company services \n04 2012\n \nto \n08 2012\njournalist\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nwrote articles and daily blog posts for internet news source withover 300 000 unique monthly readers \nimplemented articles to social media sites like facebook  twitter  and foursquare to increase viewership through concise  post blasts  \n05 2011\n \nto \n08 2011\ndata analysis   administrative intern\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nassisted company chair with administrative activities including data entry and analysis \nperformed accounting duties including composing expense reports and suggesting fund allocation \nsustained contact with property owners about building activity and relayed information to company chair \n05 2008\n \nto \n08 2011\nsales   marketing associate\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nsold billiard tables and accessories and provided advice and consultations on product inquiries built and retained direct relationships with clients and affiliates to ensure satisfaction \nprovided significant direction for developing company website including layout  organization system  and transition to e commerce services \nimplemented company social media presence and directed various other web based promotional campaigns \n03 2009\n \nto \n05 2010\nvolunteer\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\ntaught special needs children how to play various sports and other recreational activities \ntechnical skills\ngeneral \nsoftware proficiency  microsoft office  microsoft works  microsoft customer relationship management system  microsoft\npublisher\ncreative design and media proficiency  adobe photoshop  adobe illustrator  pro tools\nweb proficiency  wordpress  sitecore content management system  hootsuite\ncertifications  hootsuite\naccomplishments\n1st place marketing campaign  the next chapter  in vanderbilt university managerial studies department  parnassus marketing \ncompetition\nillinois state scholar\nprairie state achievement award\nwon  battle of the bands  competition for chicagoland high school musicians 2009  2010\nhold school record for northside college preparatory high school track   field events   middle distance medley  2010   throwers\nrelay  201', 'University': '0'}]","marketing intern company, company social media, city state provided, digital marketing intern, city state updated, city state wrote, relationship management system, city state cumulative, city state executing, city state executed"
./data\DIGITAL-MEDIA\14761906.pdf,DIGITAL-MEDIA,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \ndual major  art and visual technology   anthropology\n \n2009\n \ngeorge mason university\n \nï¼  \ncity\n \n  \nstate\nstarted off as an anthropology major with a minor in photography but soon found i loved my art classes just as much  â at first glance they seem\nunrelated but both deal with people and expressing the human condition  while one does it through studying actions and artifacts to better\nunderstand different cultures and time periods  the other deals with feelings and views shown through art  they are different but together they are a\ngood combination for a more rounded point of view  â \n course work included animation  digital as well as traditional black and white\nphotography  web design  oil panting  sculpture  print media  art history  childhood psychology â \n \nâ ancient civilizations and modern culture \ninternship\n \n2007\n \ngov trends\n \nï¼  \ncity\n \n  \nstate\nmaintained several politicians  personal websites  transferred data from previous websites to newly designed websites as well as updating\nlive sites news feeds \ndid analysis of key words used to increase traffic to websites using google adwords used pertinent data retrieved to verify if key words\nwere contributing to increasing traffic to websites or not \ncompiled results and presented solutions in reports for the clients \ncreated email lists of possible potential clients i also did minor design projects such as letter heads and logos worked with clients  staff to\nensure they were trained on how to maintain new sites after all the data had been transferred and organized \nadvanced degree\n \n2004\n \nwest springfield high school\n \nï¼  \ncity\n \n  \nstate\ninternship\n \n2004\n \nfairfax archaeology\n \nï¼  \ncity\n \n  \nstatecompiled information about artifacts from previous digs as well as properly labeling them and storing them in bags to prepare them for\nstorage \nin the field work included measuring and marking test pits  shifting through dirt  digging test pits and keeping field data\nskills\ntraditional art media  black and white photography  oil painting  sculpture  print media\ndigital art programs  photoshop  illustrator  indesign\ndigital animation  maya  flash  after effect', 'University': 's'}]","city state work, city state internship, city state shoe, city state met, city state helped, city state seasonal, city state education, city state started, city state maintained, digital media specialist"
./data\DIGITAL-MEDIA\14771530.pdf,DIGITAL-MEDIA,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nbusiness administration and computer information systems\n \nlewis university\n \nï¼  \ncity\n \n  \nstate\n \nbusiness administration and\ncomputer information systems\nskills\nproject management tools  workamajig  basecamp  donedone\ndesktop publishing software  photoshop  illustrator  htm', 'University': 'l'}]","city state managed, city state business, city state researched, city state education, computer information systems, digital producer company, associate producer company, state business administration, city state, production coordinator company"
./data\DIGITAL-MEDIA\14945250.pdf,DIGITAL-MEDIA,"[{'Degree': 'bachelor', 'Major': 's degree\n \n  \nmarketing\n \n2002\n \nuniversity of south carolina\n \ncity\n \n  \nstate\n \n  \nunited states\nconcentration \n \nsport   hospitality marketing\nskills\nleadership  team building  contract negotiation  vendor relations  customer satisfaction  sales force proficient  comfortable working with all\nwindows applications  effective sales trainin', 'University': 'g'}]","city state responsible, state united states, city state united, sale account managers, account manager responsible, front line sales, services sales manager, digital media consultant, managers territory sales, territory sales manager"
./data\DIGITAL-MEDIA\15226699.pdf,DIGITAL-MEDIA,[],"city state united, state united states, adobe photoshop adobe, adobe illustrator adobe, adobe dreamweaver adobe, city state department, school city state, city state operations, city state certified, city state industrial"
./data\DIGITAL-MEDIA\15353911.pdf,DIGITAL-MEDIA,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \nanimation\ncreated two 5 minute animated short films with peers\ndesigned and programmed two games\nworking knowledge of industry standard animation programs\nâ  \n2014\nda vinci design high school\n \nï¼  \ncity\n \n  \nstate\n \n  \nunited states\n \nhigh school diploma\n \n  \nart   design\nproject based learning\npublished a small comic book with peers\npresented designs to karten design\nplaced first with my team in the junior qualcomm tricorder x prize design competitio', 'University': 'n'}]","city state united, state united states, city state lead, city state canvassing, city state digital, united states high, united states bachelor, city state, dragons youtube series, loyola marymount university"
./data\DIGITAL-MEDIA\15484097.pdf,DIGITAL-MEDIA,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \nsocial science \n  \n2015\n \nbenedictine university \n  \ncity\n \n  \nstate\n \ntop \n15\n   of class\nemphasis in \n name of emphasis \nemphasis in \nsocial science\ntop \n number \n   of class\ncertifications\nmicrosoft certified professional  mcp', 'University': ''}]","functional administrator supervisor, notify chicago police, university city state, excellent problem solving, benedictine university city, team supervisor public, chicago police department, service desk requests, problem solving abilities, campus area control"
./data\DIGITAL-MEDIA\16276121.pdf,DIGITAL-MEDIA,[],"account manager company, digital marketing associate, social media platforms, information personal summary, marketing account manager, media marketing campaign, online marketing account, marketing associate company, multi media marketing, marketing professional focused"
./data\DIGITAL-MEDIA\16509761.pdf,DIGITAL-MEDIA,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \ndigital media communications\n \nflorida international university\n \nï¼  \ncity\n \n  \nstate\n \ngpa  3 2\nlanguages\nfluent in english and spanish  writing and speaking \nskills\nproficient in adobe photoshop and adobe premier', 'University': 'e'}]","city state assisted, city state gpa, digital media intern, city state researched, city state ensure, florida international university, media intern company, state assisted project, engineer assistant company, marketing assistant company"
./data\DIGITAL-MEDIA\16536141.pdf,DIGITAL-MEDIA,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \ntelecommunications and speech\n \nmay 2000\n \nkutztown university\n \ncity\n \n  \nstate\n \n  \nusa\n \ngpa  \ncum laude\ncum laude\nskills\nphotoshop   video editing software including avid  final cut pro and apple imovie   content development and strategy   content\nmanagement systems including blogger  sitecore and wordpress   copywriting and editing   email campaigns   google analytics   apple mac\nplatforms and applications   microsoft office suite   seo   ppc campaigns   salesforce   radian 6 and other social media listening tools  \nsocial media platforms and engagement consoles   video content development including scriptwriting and storyboarding', 'University': ''}]","social media content, social media platforms, media content managed, social media management, city state developed, city state wrote, marketing social media, social media marketing, city state editor, state wrote produced"
./data\DIGITAL-MEDIA\16893572.pdf,DIGITAL-MEDIA,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \ngraphic and web design\n \n  \n2006\n \nupper iowa university\n \ngraphic and web design 3 8 graduated  cum laude \npersonal information\nhard working  reliable  dedicated  adaptable  creative  innovative  technologically savvy  and quick to learn new skills  learn more at\nhttps   www linkedin com in teralynnmyers \nskills\nadobe creative suite  photoshop  ad  advertisements  ads  air force  automation  brand identity  budgeting  budget  business development \ncatalogs  content  content management  contracts  creative writing  credit  css  client  clients  designing  e commerce  email  gateway  google\nanalytics  graphic design  graphics  graphic  html  human resources  php  ibm  image  ip  javascript  managerial  managing  marketing\nstrategy  marketing  market  marketing and sales  materials  media relations  microsoft excel  microsoft office suite  mysql  navy  network \nnewsletters  organizing  photography  press releases  processes  processors  producer  project management  recording  reengineering  reporting \nstrategic  strategic management  web programming  website development  website  websites\nadditional information\npersonal traits  hard working  reliable  dedicated  adaptable  creative  innovative  technologically savvy  and quick to learn new skills \nlearn more at https   www linkedin com in teralynnmyers', 'University': ''}]","digital marketing campaigns, digital marketing manager, social media campaigns, city state acquired, city state initially, marketing market marketing, ibm marketing cloud, linkedin marketing campaigns, state initially hired, marketing manager november"
./data\DIGITAL-MEDIA\17132168.pdf,DIGITAL-MEDIA,[],"social engage sales, weekly review call, managed weekly review, thailand perspective follow, weekly basis list, hit brand business, outlined aop numbers, review call managing, reviews client accounts, singapore limited follow"
./data\DIGITAL-MEDIA\17432318.pdf,DIGITAL-MEDIA,[],"adobe creative suite, digital strategy consultant, marketing plan development, business management marketing, outlook powerpoint word, omega psi phi, delaware state university, strategy consultant january, plan marketing plan, plan development market"
./data\DIGITAL-MEDIA\17562754.pdf,DIGITAL-MEDIA,"[{'Degree': 'master', 'Major': 'in journalism and frequent speaker in professional media events  conferences and\nworkshops  wan ifra  inma and others  \nco author of several books about journalism and digital media \nprofessional experience\njanuary 1999\nto\njanuary 2006\ncompany name\n \ndirector of digital transformation\nimpremedia vicepresident of content  in charge of digital and print operations of the company \nimpremedia is the leading hispanic news and information company in the u s \nin online and print \ntwenty three percent  23   of u s \nhispanic adults use an impremedia network product in a given month  drawing 9 5 million unique visitors per month \nimpremedia publishes products in 15 u s \nhispanic markets that reach 3 6 million print product readers monthly \nits leading publications include la opiniã³n in los angeles and el diario la prensa in new york \nits online properties include  \nwww impremedia com  www laopinion com  www eldiariony com  www laraza com  www laprensa com \nwww laopiniondelabahia com  www rumbotx com  quieromasfutbol com  and paratimujer us \ncurrently managing as senior consultant the digital transition of la naciã³n  buenos aires  argentina   one of the main news media in\nargentina and the impremedia s shareholder to a new business and organization based more on digital and video than in print \nceo and owner of mediathink consultores  2007 2013   an international media consultancy and research company specialized in news\nmedia  new digital and business projects and how to change the legacy companies to a digital environment \nwith experience in projects and works in more than one hundred media organizations and twenty countries in europe and latin america \nmain clients  vocento  agencia efe  grupo planeta  ministerio de sanidad e igualdad  la voz de galicia  the cocktail and others  spain  \ngrupo clarã n  la naciã³n  la voz del interior  argentina   el mercurio  chile   el comercio  perãº   o globo  correio braziliense\n brazil   gfr media  puerto rico   la prensa grã fica  el salvador  and others associated director and board trustee of fundaciã³n instituto para la innovaciã³n periodã stica 2ip  a professional and academic\norganization of innovation and entrepreneurship in journalism and media \nchairman of the experts committee in new business models for journalism \nfounder and executive editor of adn es  2007   one of the first innovative news social media websites in spain  madrid  grupo planeta  \nnewsroom reorganization  contents and digital media of 12 newspapers  local television and radio for the main regional and local media\ngroup in spain \njanuary 1996\nto\njanuary 1999\ncompany name\n \nceo and general manager\nconsultants in news media  content  product  business development  newsroom organization and design \nmanaging editor of diario 16  madrid  1995 97   a national newspaper and digital news media \njanuary 1992\nto\njanuary 1995\nmanaging editor and art director of el periã³dico de catalunya executive editor\nof the el periã³dico de catalunyaâ s special edition during olympic games in barcelona  1992 \nfounder  art director and managing editor in el sol  a spanish national newspaper  madrid  1990 92  \nreporter in the business newspaper cinco dã as  madrid  1989  and the local newspaper el ideal gallego  a coruã a  spain  \ncareer in tech companies business and technology consultant in classora http   en classora com  an innovative company working in\nsemantic intelligence  web 3 0 and artificial intelligence applied to digital media \nfounding partner and shareholder of the digital marketing company incuentra com  now nlocal es  spain  and nlocal mx  mexico  after the\nsale of company to plenum media group \neducation\n1989\nnewspaper el paã s universidad autã³noma de madrid\n \nspain\n \nmaster in journalism  ma \n1987\nnavarra university\n \nspain\n \nbachelor s degree  ba \n \n  \njournalism\n \njournalism\nskills\nacademic  art director  artificial intelligence  business development  com  consultant  content  clients  editor  drawing 9 5  http  innovation \njournalism  latin  director  managing  marketing  97  works  network  newspaper  newspapers  publications  radio  reporter  research  spanish \ntelevision  unique  video  website', 'University': 's'}]","media digital media, digital media business, business development newsroom, media business development, media digital social, digital media professional, editor media business, digital marketing media, development newsroom organization, media business executive"
./data\DIGITAL-MEDIA\17584743.pdf,DIGITAL-MEDIA,[],"trumpet marketing communications, marketing manager january, marketing market marketing, marketing communications materials, development strategic marketing, market marketing communications, strategic marketing planning, brand manager january, marketing communications account, marketing communications ford"
./data\DIGITAL-MEDIA\18354623.pdf,DIGITAL-MEDIA,"[{'Degree': 'bachelor', 'Major': 's of science\n \n  \nweb and graphic design\n \nliberty university new york university  cle mac learning center\n \ncity\n \n  \nstate\nmanagement skills for new supervisors  \namerican management association  cle web and graphic design\nskills\nacrobat  adobe photoshop  ads  advertising  art director  basic  branding  budgets  budget  cms  concise  content  content development \nconversion  css  client  delivery  dreamweaver  driving  e mail  email  flash  graphics  hiring  html  illustrator  javascript  layout \nmanagement skills  marketing  marketing collateral  ms office  ms project  2k  multimedia  optimization  pdf  php  press releases \nprocesses  project management  real time  receiving  recruiting  research  sales  search engine optimization  strategy  strategic plans  swift \nunique  user interface design  video  visio  web graphic design  website  web content  websites  webtrends  workflow  articles  xm', 'University': 'l'}]","digital marketing manager, web graphic design, search engine optimization, search engine marketing, project management web, marketing digital project, media web marketing, management project management, digital marketing digital, digital project management"
./data\DIGITAL-MEDIA\18442517.pdf,DIGITAL-MEDIA,[],"web services web, service catalog module, service level agreement, web services integrations, based web services, services web based, applications platforms service, configuration management database, city state extend, web services technical"
./data\DIGITAL-MEDIA\18488289.pdf,DIGITAL-MEDIA,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nmass communications \nst  cloud state university\n \nï¼  \ncity\n \n  \nstate\ncertifications\ngoogle adwords certified professional   valid through february 2017\ngoogle analytics individual qualification   valid through september 2016\nâ  \nskills\nindependent self starter with analytical and statistical skills  passion for data driven decision making\nstrong organization and time management skills  handles multiple projects and details simultaneously\nexcellent oral and written communication skills  communicates and collaborates cross functionally\npossesses an unquenchable thirst for learning and an insatiable hunger for self improvemen', 'University': 't'}]","engaging content marketing, digital marketing specialist, senior digital marketing, content marketing pieces, city state managed, social media accounts, management digital marketing, engine friendly content, time management skills, digital marketing search"
./data\DIGITAL-MEDIA\18501746.pdf,DIGITAL-MEDIA,[],"city state broadcasting, city state directly, city state execute, city state act, city state communicate, city state appointed, city state worked, broadcasting mass media, programmatic media supervisor, city state"
./data\DIGITAL-MEDIA\18525641.pdf,DIGITAL-MEDIA,"[{'Degree': 'master', 'Major': 'ed planning  research and budget tracking tools\neducation\nbachelor of arts\n \n  \njournalism   strategic communications marketing\n \nmay 2007\n \nuniversity of missouri\n \ncity\n \n  \nstate\n \n  \nunited states\n \nbusiness minor\n  emphasis in marketing\nmedia toolbox\nnielsen clear decisions  mri   scarborough \ncompetitive spending tools   ad views  kantar  comscoremedia reach   frequency tools   proprietary   comscore\nproprietary audience measurement platform\nmedia tools planning software\neconometric modeling analysis', 'University': ''}]","city state led, director media strategy, missouri city state, city state oversaw, city state improved, city state broadened, city state served, city state united, state united states, state led cross"
./data\DIGITAL-MEDIA\18900722.pdf,DIGITAL-MEDIA,"[{'Degree': 'bachelor', 'Major': 'of fine arts\n \nparsons the new school\n \nï¼  \ncity\n \n  \nstate\nassociate of arts\n \n  \nbusiness\n \nunion county college\n \nï¼  \ncity\n \n  \nstate\ntechnical skills\nadobe creative suite  indesign  photoshop  illustrator  word  excel  powerpoint  salesforce  visi', 'University': 'o'}]","integrated marketing strategies, marketing sales business, creative director company, sales strategies aligned, marketing strategies clients, sales business development, integrated marketing sales, business development company, development integrated marketing, business development strategies"
./data\DIGITAL-MEDIA\18905648.pdf,DIGITAL-MEDIA,[],"social media coordinator, city state bartender, city state social, city state shift, city state office, state social media, strategized social media, social media campaign, social media posts, brought employee training"
./data\DIGITAL-MEDIA\18927233.pdf,DIGITAL-MEDIA,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \ncommunications cinema arts  communications  english and journalism\n \n2016\n \nvanguard university\n \ncity\n \n  \nstate\n \n  \nusa\ncommunications cinema arts  communications  english and journalism\nadvanced coursework in public relations  wrote and proofread many articles  press releases  and scripts  produced several student films \n \nbest\nfilm 2015 academic achievement award \nskills\nadobe photoshop  approach  budget planning  budgets  cashier  content  credit  customer service  special events  google analytics  marketing\nstrategies  market trends  marketing  media placement  media relations  networking  optimization  press releases  public relations  sales\nexperience  sales  scripts  social media platforms  strategic  web content  websites  article', 'University': 's'}]","digital marketing coordinator, communications cinema arts, cinema arts communications, arts communications english, social media platforms, arts communications cinema, trends marketing media, marketing media placement, media placement media, experience digital marketing"
